Teacher Name,Month,Attendance (%),Feedback from Students (1-5),Questions Answered,Research Papers,Average Class Duration (minutes),Average Student Attendance per Class (%),Resource Sharing (1-5),Quiz Frequency,After Quiz Feedback (1-5),RandomNumber
Teacher_1,1,91,4.9,99,5,47,77,3.9,4,3.5,17.07813362
Teacher_2,1,95,4.3,123,2,51,88,3.8,1,3.5,32.66637982
Teacher_3,1,96,3.8,107,1,55,77,3.7,1,4.7,43.36173559
Teacher_4,1,93,3.7,139,1,70,89,3.8,4,5,80.32928896
Teacher_5,1,98,4.4,109,4,74,83,4.5,1,4.6,11.25133405
Teacher_6,1,91,4.6,129,6,72,81,4.2,1,3.5,56.97549832
Teacher_7,1,88,4.7,107,5,71,77,4.3,1,3.8,47.68083343
Teacher_8,1,88,3.9,119,6,58,88,3.7,3,5,98.73471806
Teacher_9,1,99,3.8,95,5,67,81,4.7,1,4.7,85.19636121
Teacher_10,1,98,3.5,113,2,68,89,4.7,1,4.4,2.889736969
Teacher_11,1,94,4.5,94,2,46,89,3.5,3,3.9,99.4556497
Teacher_12,1,91,3.6,84,1,67,85,4.1,4,3.5,76.07444282
Teacher_13,1,87,4.1,90,5,69,87,3.6,2,3.5,47.85041073
Teacher_14,1,92,4.4,119,5,53,84,4.7,1,4.4,74.88443726
Teacher_15,1,90,4.9,92,6,52,85,4.6,3,3.5,63.19999831
Teacher_16,1,91,4,134,2,73,84,4.9,2,5,89.19623362
Teacher_17,1,87,3.9,142,3,61,79,3.9,3,3.8,1.265463958
Teacher_18,1,99,4.5,108,1,74,83,4.2,4,4.6,44.85752142
Teacher_19,1,97,4.4,100,5,47,86,3.8,1,3.7,25.53166322
Teacher_20,1,95,4,147,4,57,77,4.1,3,4.3,96.91429022
Teacher_21,1,93,4.9,116,4,74,82,4.3,2,3.6,93.16304047
Teacher_22,1,85,4.8,96,3,71,83,3.6,2,4.7,47.70699192
Teacher_23,1,98,3.8,126,2,50,82,4.6,3,4.4,50.5418626
Teacher_24,1,92,3.9,87,2,62,89,4.3,1,3.6,3.838900912
Teacher_25,1,87,4.3,81,2,67,83,4.7,2,4.8,3.78826561
Teacher_26,1,95,4.7,121,6,68,79,3.9,3,4.3,66.627539
Teacher_27,1,85,3.6,80,4,70,80,4.9,3,4.9,3.68629113
Teacher_28,1,94,4.5,141,2,51,81,5,3,4.9,32.68993185
Teacher_29,1,92,4.5,102,4,57,82,4.9,3,4.9,40.25719152
Teacher_30,1,91,3.8,128,3,65,87,4.7,3,3.6,56.71440529
Teacher_31,1,89,4.5,106,1,72,89,4.7,2,3.7,43.34455753
Teacher_32,1,85,4.9,101,6,57,86,4.4,3,5,40.32287932
Teacher_33,1,98,3.6,101,5,71,89,3.8,3,4.2,20.09846907
Teacher_34,1,93,4,130,3,64,87,4.5,1,3.9,10.25209026
Teacher_35,1,85,4.2,96,4,56,75,4.6,1,4.7,46.26683739
Teacher_36,1,97,4.8,89,3,51,81,5,2,3.9,37.46172964
Teacher_37,1,85,4.9,124,5,51,82,4.3,3,4.6,41.44902654
Teacher_38,1,97,4.2,148,6,67,75,3.9,4,4.8,93.79093568
Teacher_39,1,89,4.6,120,1,69,75,4.5,4,4.7,21.46910041
Teacher_40,1,86,4.3,85,5,70,87,5,1,3.9,29.95183186
Teacher_41,1,90,4.3,94,6,71,83,3.8,3,4.1,51.43738092
Teacher_42,1,95,3.9,101,4,62,80,4,1,4.1,22.52311122
Teacher_43,1,96,3.8,141,5,71,82,4.3,4,4.2,41.14060841
Teacher_44,1,87,3.9,96,3,66,79,3.8,4,3.8,3.602122077
Teacher_45,1,99,4.3,106,2,45,75,3.5,4,4.2,86.02310941
Teacher_46,1,90,3.5,121,3,48,76,4,4,4.3,0.871977346
Teacher_47,1,88,4.9,86,4,47,84,4.8,2,4.3,61.22260122
Teacher_48,1,96,3.7,95,1,54,85,3.6,2,4.7,24.57621361
Teacher_49,1,89,3.8,146,5,65,76,4.1,1,4.3,86.49064483
Teacher_50,1,85,4.3,105,1,69,86,4.6,1,3.8,26.74218744
Teacher_51,1,99,4.6,82,4,61,87,4.9,3,4.5,12.4877657
Teacher_52,1,97,3.6,91,5,54,79,5,2,4.7,38.69945301
Teacher_53,1,94,4,90,6,68,81,4.1,1,4,61.93233028
Teacher_54,1,90,5,96,6,50,81,4.9,1,4.5,49.88717196
Teacher_55,1,89,3.9,113,3,52,82,3.6,2,3.7,53.71209869
Teacher_56,1,86,4,83,3,60,87,4.6,2,4,19.41617929
Teacher_57,1,85,4.8,81,4,66,78,4.5,4,4.9,27.04375236
Teacher_58,1,87,3.6,99,6,74,85,3.9,1,4.9,2.415194836
Teacher_59,1,86,4.2,96,5,54,83,4.3,2,4.4,10.64255321
Teacher_60,1,88,4.1,97,6,50,81,3.7,3,4.6,22.1568792
Teacher_61,1,87,4,136,3,68,77,4.8,3,4.8,74.76380398
Teacher_62,1,97,3.9,109,4,46,81,4,4,4.9,75.34310165
Teacher_63,1,97,3.6,92,6,65,76,4.4,3,4.2,96.98929507
Teacher_64,1,96,4,113,4,67,78,3.7,1,4.3,35.46719705
Teacher_65,1,88,3.6,137,6,56,75,3.8,4,4.1,20.91432119
Teacher_66,1,91,4.7,92,1,48,83,5,2,3.6,4.655577072
Teacher_67,1,96,4.1,149,6,53,82,4.6,1,4.1,33.98980408
Teacher_68,1,94,4.2,147,3,55,89,4.9,2,4.7,70.93384897
Teacher_69,1,97,4.8,135,5,63,88,3.9,1,4.7,56.11285975
Teacher_70,1,96,4.5,117,3,55,77,3.7,3,4.8,93.83350519
Teacher_71,1,98,3.5,146,3,56,88,4.3,3,3.6,39.93257611
Teacher_72,1,99,4.9,107,3,74,75,4.2,3,4.3,80.3971526
Teacher_73,1,93,3.9,117,4,69,88,3.8,1,3.7,99.91421664
Teacher_74,1,89,3.7,130,2,54,88,4.6,4,3.8,88.4594279
Teacher_75,1,99,4.7,128,2,64,76,4,3,4.9,11.0320418
Teacher_76,1,93,4.3,100,1,62,77,3.8,1,4.2,14.21413455
Teacher_77,1,96,4.2,86,3,49,77,4,3,4.6,32.56410923
Teacher_78,1,95,3.9,89,2,48,84,4.3,2,3.6,54.8695652
Teacher_79,1,98,4.3,136,1,61,89,4.6,4,4.1,82.05661711
Teacher_80,1,98,3.9,141,4,49,75,4.2,4,4.5,78.62958112
Teacher_81,1,85,4.9,133,3,66,76,4.3,3,3.7,47.49690762
Teacher_82,1,86,3.8,121,5,51,78,3.7,2,4,31.29744106
Teacher_83,1,89,4.8,98,4,68,82,4.9,2,3.6,37.82704301
Teacher_84,1,89,4.3,141,1,45,85,4.9,4,4.5,18.36237133
Teacher_85,1,92,4.7,109,4,63,85,4.5,4,5,33.7070894
Teacher_86,1,95,4.6,96,5,55,76,3.5,1,4.7,2.726495443
Teacher_87,1,99,4.5,99,4,65,82,4.3,3,5,22.63559982
Teacher_88,1,96,4,97,1,62,75,4.4,4,4.8,98.87229668
Teacher_89,1,88,3.9,114,5,56,88,5,1,4.8,72.14202642
Teacher_90,1,89,3.8,102,5,58,78,5,4,4.4,78.71282901
Teacher_91,1,86,4.8,121,4,52,75,4.8,3,4.3,21.55180172
Teacher_92,1,91,4.7,130,5,72,75,3.6,1,4.1,23.03402149
Teacher_93,1,87,4.2,96,4,47,79,4.9,3,4.7,76.42766693
Teacher_94,1,94,3.7,103,3,51,84,4.4,3,3.8,64.40615349
Teacher_95,1,85,4.1,147,5,56,75,4.7,3,3.6,16.42817858
Teacher_96,1,92,4.4,101,4,51,80,4.1,4,4.9,62.94516542
Teacher_97,1,97,4.2,91,3,65,82,4,3,3.5,39.47920105
Teacher_98,1,92,4.7,146,5,67,83,4.2,3,5,15.38138665
Teacher_99,1,98,5,118,3,65,77,3.7,4,4.6,81.80173759
Teacher_100,1,91,3.8,112,6,48,77,4,2,4,99.11057777
Teacher_101,1,93,4.2,133,5,74,80,4.8,1,4.5,57.46122554
Teacher_102,1,88,4.1,140,6,58,85,3.6,2,4.7,79.0028673
Teacher_103,1,89,4,94,1,62,86,3.7,4,3.9,19.05679548
Teacher_104,1,85,3.8,108,1,66,86,3.7,2,4.7,10.18545808
Teacher_105,1,98,3.6,110,4,72,84,4.1,2,4.7,82.74411426
Teacher_106,1,92,4.8,81,2,70,80,5,2,3.9,88.11455625
Teacher_107,1,98,4.1,140,6,50,89,3.8,4,3.6,58.11641711
Teacher_108,1,97,4.2,134,6,72,79,3.7,4,3.8,8.715859998
Teacher_109,1,96,4.9,100,1,51,79,4.9,4,3.8,22.86090911
Teacher_110,1,95,4.7,108,6,64,89,4.8,2,3.6,76.32166693
Teacher_111,1,97,3.7,128,2,70,77,3.5,2,4.6,15.96124237
Teacher_112,1,92,4.3,106,3,74,75,4.6,1,4.1,82.62539839
Teacher_113,1,98,4.2,137,3,45,83,4.5,4,4.8,26.81020697
Teacher_114,1,96,4.7,143,2,61,76,4.7,1,3.9,50.45136886
Teacher_115,1,89,4.6,94,6,52,76,4.2,1,4.2,34.84798357
Teacher_116,1,92,4.5,82,6,53,81,5,4,4.5,28.23195636
Teacher_117,1,85,4,107,6,53,84,3.6,3,4.8,3.869021047
Teacher_118,1,91,4.7,130,4,74,83,3.9,2,4.3,69.57095857
Teacher_119,1,97,3.6,145,5,72,76,4.1,4,4.1,82.06078485
Teacher_120,1,89,3.7,127,2,65,77,4.2,1,4.8,96.48669059
Teacher_121,1,85,4,86,2,46,82,4.9,4,4,56.76871515
Teacher_122,1,97,3.6,88,2,73,79,4.3,4,3.6,96.08241834
Teacher_123,1,87,3.9,123,2,51,86,3.6,4,4.2,47.25936151
Teacher_124,1,90,4.7,116,2,67,83,4.1,3,4.7,52.82380186
Teacher_125,1,98,4.9,108,6,73,82,4.1,2,3.5,52.08954955
Teacher_126,1,89,4,130,4,70,77,4.9,2,4.4,10.27019304
Teacher_127,1,87,3.9,126,1,53,87,4.4,4,4.4,25.54570205
Teacher_128,1,94,3.9,92,6,72,80,4.5,1,4.9,68.39519729
Teacher_129,1,99,3.9,145,6,55,84,4.6,3,3.9,71.13219112
Teacher_130,1,87,3.6,99,5,71,85,4.7,1,3.9,40.36671258
Teacher_131,1,95,4.9,118,1,59,76,4.5,1,4.2,88.30858272
Teacher_132,1,90,3.8,105,2,52,85,3.9,2,4,57.40403314
Teacher_133,1,89,4.1,112,1,47,89,4.8,3,4.6,85.05527966
Teacher_134,1,97,3.5,120,4,66,78,4.6,1,4.5,45.77441547
Teacher_135,1,98,4.8,101,3,67,85,4.6,2,4.6,99.00802192
Teacher_136,1,87,4.6,92,6,68,87,5,3,4.7,49.98671175
Teacher_137,1,88,4.9,84,1,45,80,4.7,2,4.9,42.03664776
Teacher_138,1,96,4.7,124,5,67,77,4.7,1,4.1,49.45611339
Teacher_139,1,87,4,122,4,50,85,4.9,4,5,58.54759587
Teacher_140,1,87,3.9,146,3,52,85,3.7,3,3.8,87.39846073
Teacher_141,1,88,4.5,106,4,49,82,4.2,3,4.6,65.44154149
Teacher_142,1,85,4,88,2,47,80,4.4,4,4.3,77.33541492
Teacher_143,1,99,4.3,81,3,50,83,4,4,4.7,92.07571948
Teacher_144,1,89,3.5,104,5,52,75,4.8,1,4.2,51.80884724
Teacher_145,1,96,3.6,91,3,56,81,4.6,2,4.7,73.88611154
Teacher_146,1,85,4.3,110,5,45,84,4.6,4,4.9,42.44911598
Teacher_147,1,98,4.3,94,2,55,79,5,3,4.6,39.43056489
Teacher_148,1,89,4.6,134,5,61,89,3.9,1,4.7,42.0615621
Teacher_149,1,91,3.7,137,4,73,80,4.6,2,3.6,14.1855434
Teacher_150,1,96,4.3,111,1,45,89,4.3,2,3.8,89.02873674
Teacher_151,1,94,3.8,86,4,54,79,4,2,5,61.48718298
Teacher_152,1,97,3.6,85,6,50,76,3.7,2,4.5,49.10313287
Teacher_153,1,86,4.1,80,4,72,86,4.8,4,4.3,97.19672281
Teacher_154,1,88,3.7,93,3,50,76,4.4,3,4.1,42.46103236
Teacher_155,1,94,3.8,143,2,62,86,4.7,1,3.6,15.7673322
Teacher_156,1,94,4,110,6,51,88,4.3,1,4.1,45.60494863
Teacher_157,1,86,3.9,107,6,74,84,3.8,2,4.2,32.31682302
Teacher_158,1,91,3.6,146,6,59,88,4,1,3.8,0.106301631
Teacher_159,1,89,3.6,100,1,64,78,4.1,2,3.8,60.0413939
Teacher_160,1,97,3.8,122,5,46,81,5,2,4.3,36.07079014
Teacher_161,1,98,3.6,93,3,69,75,3.5,3,4.4,83.14027184
Teacher_162,1,99,4.4,144,2,56,80,5,3,3.9,9.44061199
Teacher_163,1,92,3.9,87,1,57,87,5,3,4.4,24.63897568
Teacher_164,1,91,3.9,119,4,55,75,5,4,4.9,7.810901186
Teacher_165,1,85,4,146,2,73,80,4.2,2,4.2,42.3572924
Teacher_166,1,91,4.5,104,6,65,76,4.9,3,4.8,54.83644788
Teacher_167,1,97,4.8,101,2,74,77,4.1,1,4.9,78.16127316
Teacher_168,1,99,4.6,98,2,67,83,3.5,4,3.6,88.71046565
Teacher_169,1,86,4.6,114,4,49,82,3.8,3,3.6,90.62613161
Teacher_170,1,85,4.2,127,5,64,80,4.9,3,4.2,87.40145735
Teacher_171,1,90,4.5,96,3,63,82,3.5,1,4.4,36.74716345
Teacher_172,1,88,4.3,92,6,74,78,4.3,2,4.1,92.66383419
Teacher_173,1,94,3.8,128,5,52,75,3.6,2,4,31.54609849
Teacher_174,1,89,3.8,91,1,65,79,3.9,4,4.5,81.30952924
Teacher_175,1,94,3.9,86,6,58,75,3.6,2,3.5,28.49573391
Teacher_176,1,97,4.9,139,3,62,85,4.8,4,5,92.90061252
Teacher_177,1,95,4.3,84,1,45,82,4.4,2,3.8,97.83537769
Teacher_178,1,93,4.6,112,4,61,78,4.9,1,4.9,39.5137014
Teacher_179,1,94,4,117,5,52,86,4.5,3,3.7,4.276933478
Teacher_180,1,97,4.1,122,6,51,78,5,1,3.9,69.33425802
Teacher_181,1,97,3.7,84,2,54,77,4.3,3,3.9,75.27458465
